JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457970.93249,9.732,0.018,,I,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 10.974  K = 11.366,0,1.39,Z,19.213,19.580,,PDS 110,VVS,STD,,,,
2457970.93277,9.743,0.018,,I,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 10.974  K = 11.366,0,1.39,Z,19.175,19.581,,PDS 110,VVS,STD,,,,
2457971.32160,10.958,0.007,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.918|VERR=0.006|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.5358|CX=1.5334|KX=1.5375|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.536,Z,11.537,11.958,,PDS 110,AAVSO,STD,101,,,
2457971.32185,10.959,0.008,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.906|VERR=0.008|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.5337|CX=1.5313|KX=1.5354|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.534,Z,11.524,11.966,,PDS 110,AAVSO,STD,102,,,
2457971.32237,10.451,0.005,,V,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.219|VERR=0.004|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=1.5294|CX=1.5270|KX=1.5311|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.530,Z,10.764,11.111,,PDS 110,AAVSO,STD,101,,,
2457971.32262,10.451,0.006,,V,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.233|VERR=0.005|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=1.5273|CX=1.5249|KX=1.5290|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.528,Z,10.778,11.114,,PDS 110,AAVSO,STD,102,,,
2457971.32317,9.809,0.005,,I,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.702|VERR=0.005|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=1.5228|CX=1.5205|KX=1.5245|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.524,Z,11.184,11.454,,PDS 110,AAVSO,STD,101,,,
2457971.32341,9.824,0.007,,I,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.678|VERR=0.007|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=1.5209|CX=1.5185|KX=1.5226|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.521,Z,11.146,11.408,,PDS 110,AAVSO,STD,102,,,
2457971.32399,10.117,0.004,,R,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=8.987|VERR=0.004|CREFMAG=11.632|CREFERR=0.028|KREFMAG=11.921|KREFERR=0.030|VX=1.5162|CX=1.5139|KX=1.5179|TR_VI=-0.0150|TR_VIERR=0.0140|TAVER=2.49,1,1.517,Z,10.503,10.788,,PDS 110,AAVSO,STD,101,,,
2457971.32424,10.110,0.005,,R,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=8.968|VERR=0.005|CREFMAG=11.632|CREFERR=0.028|KREFMAG=11.921|KREFERR=0.030|VX=1.5142|CX=1.5119|KX=1.5159|TR_VI=-0.0150|TR_VIERR=0.0140|TAVER=2.49,1,1.515,Z,10.491,10.772,,PDS 110,AAVSO,STD,102,,,
