JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457951.93578,10.458,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.96,Z,18.031,18.078,,PDS 110,VVS,STD,,,,
2457951.93616,10.455,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.95,Z,18.042,18.073,,PDS 110,VVS,STD,,,,
2457952.93571,10.411,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.91,Z,18.038,18.037,,PDS 110,VVS,STD,,,,
2457952.93609,10.420,0.010,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.90,Z,18.025,18.038,,PDS 110,VVS,STD,,,,
2457953.93579,10.446,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.86,Z,18.021,18.089,,PDS 110,VVS,STD,,,,
2457953.93617,10.440,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.86,Z,18.032,18.106,,PDS 110,VVS,STD,,,,
2457954.92638,10.427,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.98,Z,18.090,18.125,,PDS 110,VVS,STD,,,,
2457954.92676,10.422,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.97,Z,18.097,18.133,,PDS 110,VVS,STD,,,,
2457955.92644,10.427,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.93,Z,18.500,18.533,,PDS 110,VVS,STD,,,,
2457955.92682,10.436,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.92,Z,18.542,18.617,,PDS 110,VVS,STD,,,,
2457956.93343,10.426,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.77,Z,18.037,18.079,,PDS 110,VVS,STD,,,,
2457956.93381,10.420,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.77,Z,18.036,18.075,,PDS 110,VVS,STD,,,,
2457957.93348,10.420,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.73,Z,18.088,18.118,,PDS 110,VVS,STD,,,,
2457957.93387,10.421,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.73,Z,18.091,18.151,,PDS 110,VVS,STD,,,,
2457958.93356,10.447,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.70,Z,18.037,18.094,,PDS 110,VVS,STD,,,,
2457958.93395,10.431,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.69,Z,18.048,18.090,,PDS 110,VVS,STD,,,,
2457959.93373,10.401,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.66,Z,18.061,18.093,,PDS 110,VVS,STD,,,,
2457959.93411,10.403,0.009,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.65,Z,18.059,18.093,,PDS 110,VVS,STD,,,,
2457960.93380,10.411,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.63,Z,18.014,18.046,,PDS 110,VVS,STD,,,,
2457960.93418,10.432,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.62,Z,17.981,18.043,,PDS 110,VVS,STD,,,,
2457961.33448,10.933,0.010,,B,MGW,,000-BMH-802,000-BMH-803,X19877CE,T50 - SIDING SPRING|VMAGINS=-9.892|VERR=0.009|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.686,Z,-8.248,-7.863,,PDS 110,AAVSO,STD,102,,,
2457961.33485,10.921,0.016,,B,MGW,,000-BMH-802,000-BMH-803,X19877CE,T50 - SIDING SPRING|VMAGINS=-10.086|VERR=0.016|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.680,Z,-8.430,-8.010,,PDS 110,AAVSO,STD,101,,,
2457961.33543,10.441,0.005,,V,MGW,,000-BMH-802,000-BMH-803,X19877CE,T50 - SIDING SPRING|VMAGINS=-10.817|VERR=0.004|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.675,Z,-9.261,-8.903,,PDS 110,AAVSO,STD,102,,,
2457961.33579,10.437,0.009,,V,MGW,,000-BMH-802,000-BMH-803,X19877CE,T50 - SIDING SPRING|VMAGINS=-10.837|VERR=0.008|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.670,Z,-9.277,-8.932,,PDS 110,AAVSO,STD,101,,,
2457961.33644,9.813,0.006,,I,MGW,,000-BMH-802,000-BMH-803,X19877CE,T50 - SIDING SPRING|VMAGINS=-10.289|VERR=0.006|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.664,Z,-8.810,-8.528,,PDS 110,AAVSO,STD,102,,,
2457961.33678,9.787,0.012,,I,MGW,,000-BMH-802,000-BMH-803,X19877CE,T50 - SIDING SPRING|VMAGINS=-10.281|VERR=0.012|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.659,Z,-8.777,-8.506,,PDS 110,AAVSO,STD,101,,,
